"","rep","code","our_beta0","our_beta1","our_beta2","cc_beta0","cc_beta1","cc_beta2","naive_beta0","naive_beta1","naive_beta2","gs_beta0","gs_beta1","gs_beta2","eta0","eta1","eta2","n"
"4479",4479,0,1.9993225972927,3.00064816780633,4.00001428508195,1.9993225972927,3.00064816780633,4.00001428508195,3.71545573590825,1.25431121163043,4.00789320224493,1.99813429524433,3.00187239257208,4.0000019025232,-2.12578134661185,4.34512955914086,0.535790716756931,10000
"4480",4480,0,1.99980572163211,3.00009835367342,4.00001826063162,1.99982529584925,3.00011770019727,4.00001593294225,3.10266031420804,1.81827911123086,4.0222301558033,1.99952360957435,3.00033810289721,4.00003426222811,-2.22311534328774,4.43479884883164,0.448355805118259,10000
"4481",4481,0,1.99963285669862,3.00033884969523,4.00001199383029,1.99962708362978,3.00033324069306,4.00001604683346,3.14127797200725,1.77784585298303,4.02073042229424,2.00012478075591,2.99985983011575,4.00000954720054,-2.18826221605133,4.44563518997446,0.448493069564545,10000
"4482",4482,0,2.00046167585869,2.99969899171043,3.99995278272305,2.00045574136998,2.99969288049244,3.99995315647168,2.95180430047701,1.9567699346654,4.02483505291194,2.00023326928508,2.99992658729392,3.99995187243335,-2.35197849227686,4.4138198044774,0.473860248466313,10000
"4483",4483,0,2.00042014437706,2.99967920979037,3.99996501496567,2.00047061650806,2.99952172520501,4.00000819974392,3.41517188723647,1.52047811610367,4.0207347221715,2.00043158877261,2.9996341823746,3.99997784109241,-2.12739383040556,4.35997219660742,0.519352873045755,10000
"4484",4484,0,2.00035176461925,2.99965718346886,4.00001180988375,2.00035517066766,2.99966059668234,4.0000128637617,2.61067257422532,2.3077132497759,4.02163910810361,2.00042027140183,2.99967719138581,3.99998766318355,-2.29361464612046,4.40143668486416,0.530135843697714,10000
"4485",4485,0,1.99826116572173,3.00187535106614,3.99996028407664,1.99824775219954,3.00186208863692,3.99996398177013,4.08165221478637,0.864871853196466,4.01463544944356,1.99879231724882,3.0012072950242,4.00000107142929,-2.27353678292738,4.57192069825347,0.54516197832749,10000
"4486",4486,0,1.99884408592717,3.00113048993497,4.00001556652937,1.99883388257887,3.00112121984689,4.00001588834176,2.42186808616933,2.49865911350943,4.02193638830355,1.99915996251201,3.00082075296045,4.00001167986605,-2.26280873873418,4.53453124412734,0.49212793602669,10000
"4487",4487,0,2.00225063059993,2.99776943671837,3.99998929842653,2.00225063059993,2.99776943671837,3.99998929842653,2.92167576470172,2.04336919680909,4.00899865935955,2.00148267304638,2.99858687301556,3.99997644355586,-2.26011482660896,4.52285128046729,0.501456121372381,10000
"4488",4488,0,2.00061742501551,2.99943786994941,3.99998654935595,2.00062900407648,2.99944933499949,3.9999824551851,2.99188925925694,1.90776658178365,4.03001377524383,2.00032789669278,2.9997759767677,3.99996817512095,-2.1506077853189,4.33906814825531,0.402064714195414,10000
"4489",4489,0,1.99938553809926,3.00056545304556,4.0000206385079,1.99938316752571,3.00056308294497,4.0000139517829,3.90761182385306,0.979702317158892,4.0287789269629,1.99943963406732,3.00058760557052,3.99999388727072,-2.27353848062108,4.4752078921288,0.436439725367441,10000
"4490",4490,0,1.99911579302729,3.00079006924956,4.0000130297241,1.99911638940263,3.00079069112086,4.00001508067145,3.70672640439951,1.18356041350196,4.0275962877315,1.99926749306461,3.00065277696067,4.00001009655657,-2.18780298811103,4.42516509637649,0.486550492220103,10000
"4491",4491,0,2.00274427441523,2.9971449923997,4.00002672030934,2.00274427441523,2.99714499239969,4.00002672030934,3.93086381578771,0.972069741778259,4.02965263877738,2.00158264693986,2.99837846883383,4.0000041537515,-2.23344816435725,4.36483573296681,0.621744943898857,10000
"4492",4492,0,2.00042747616567,2.99946643888406,4.00004064633129,2.00042751167902,2.99946645350985,4.00004265825557,4.02028390683051,0.925772636256769,4.014633300325,1.99966800418926,3.00017615702425,4.00005567790592,-2.29488415518794,4.52960350341709,0.516649607227047,10000
"4493",4493,0,2.00133240743977,2.99884788564034,3.99992412323501,2.00133645541439,2.99885160203193,3.99991286764987,3.36254384515092,1.5711901985047,4.0196253446336,1.99990473260899,3.00024492338463,3.99993034697314,-2.1879953659451,4.48021621290536,0.428320131602962,10000
"4494",4494,0,2.00228025125151,2.99793588554146,3.99994069772011,2.00228066173651,2.99793626670978,3.99994324470071,3.0897274444855,1.81283190219481,4.02551733285084,2.00161546564562,2.99851565547642,3.9999656987912,-2.26596060443782,4.49445514010035,0.461181428456782,10000
"4495",4495,0,1.99852986053597,3.00151797443818,3.99997015911669,1.99853477610133,3.00152309742158,3.99998374973313,4.16945414109332,0.754198083793753,4.02192466410518,1.99876766200102,3.00121318020044,4.00000024487459,-2.11892690148463,4.32569900478056,0.526927704627555,10000
"4496",4496,0,2.00090231677041,2.99905134434522,4.00000793991758,2.00090293132263,2.99905200708514,4.00001022351213,3.75791350623661,1.19741947276999,4.01134332161747,2.00178172675384,2.99816468437909,4.00001176774239,-2.11129663592715,4.33029368625346,0.530644713156235,10000
"4497",4497,0,2.00218214843473,2.9981302365655,3.99990552374009,2.00216419980335,2.99811209789909,3.99989027440734,3.85838095157985,1.07395217309058,4.02035625853131,2.00116472509746,2.99877390492104,4.00002236922429,-2.1844119609146,4.36485983921218,0.527535896629637,10000
