"","rep","code","our_beta0","our_beta1","our_beta2","cc_beta0","cc_beta1","cc_beta2","naive_beta0","naive_beta1","naive_beta2","gs_beta0","gs_beta1","gs_beta2","eta0","eta1","eta2","n","q"
"3720",3720,0,1.98928776052156,3.01129921935605,3.99977631329605,1.99053443573058,3.01032056335947,3.99973444490904,2.81739125250696,2.15219410367632,4.0105233437726,1.98970580067544,3.0109873593384,3.99975047167565,-2.36489338749483,4.62998924558322,0.663576536930878,1000,0.75
"3721",3721,0,1.99869287210718,3.00074389079278,4.00029378948993,1.99868673576954,3.00073752472766,4.00027634974736,2.15273369547377,2.59520779045384,4.05409488448256,1.99853601542631,3.00083250821853,4.00031355351302,-2.5963981486082,4.659812877802,0.392549514567276,1000,0.75
"3722",3722,0,2.00863458650977,2.9911279793652,4.00005760081658,2.00863439240285,2.9911277609087,4.00005611293698,3.70404427359529,1.26062968118368,4.00904463325797,2.00179041867882,2.99806394517672,4.00003319036955,-2.0115730418071,4.40483090759,0.549785428445952,1000,0.75
"3723",3723,0,2.00890929025611,2.99056434307568,4.00014150057284,2.00890929025611,2.99056434307568,4.00014150057284,2.33243719194721,2.64240010171881,4.00747049277296,2.01097421479827,2.98880115886506,4.00004319644257,-2.68104022188187,5.01328501414737,0.560042131148782,1000,0.75
"3724",3724,0,1.99331862683577,3.00622065127008,4.00019585516978,1.9952426315878,3.00397796574913,4.00027423465199,2.07773322157169,2.82524806693952,4.03120043271895,1.99412295134414,3.00528775331882,4.0002268351305,-2.75285192727744,5.13673228717577,0.166774084111354,1000,0.75
"3725",3725,0,1.99569489617018,3.0044411953679,3.99993547619331,1.98948747652823,3.01131236741504,3.99973884153142,2.98084518423261,1.989121936324,4.00969369197309,1.99409381382934,3.0062500348835,3.99987389482412,-2.41383298137094,5.03651494838689,0.445272537798127,1000,0.75
"3726",3726,0,2.00217737811074,2.9980273613144,3.99992739620723,2.00217654247564,2.99802649433717,3.99993364447292,2.54807719035351,2.43733439759541,4.00428375002277,1.99913493103775,3.00121281835767,3.99988846672281,-1.7630226071045,4.05214396409612,0.742399705273175,1000,0.75
"3727",3727,0,1.99738590251509,3.00288389472508,3.9999170763787,1.99738695182431,3.00288510642838,3.99995392356596,2.96259112711928,1.78954483498071,4.07221510315239,1.99756050955067,3.00251516175657,3.99999224454021,-2.70745562298036,5.06636961668268,0.329886379071029,1000,0.75
"3728",3728,0,2.01000662981458,2.99000762816083,3.9999606489287,2.01458313438077,2.98519286804475,4.00008262032846,2.93280569979696,2.00722219927625,4.02053523627982,2.01201247039779,2.98789238612968,4.00001312597897,-1.98382965635353,4.1120848418941,0.722914221836227,1000,0.75
"3729",3729,0,2.001046946931,3.0000041405121,3.99967313736177,2.001046946931,3.0000041405121,3.99967313736177,3.62572154487503,2.6156173390556,3.42419170721495,2.00096687702241,3.00001984114297,3.9996947528429,-2.45213467520584,4.56491927807194,0.187470058916977,1000,0.75
"3730",3730,0,1.99817897228763,3.00016344261094,4.00063067075651,1.9982075130981,3.00037663927816,4.00069723281445,5.46896365245301,0.516460448859587,3.48328348096672,1.9982026145481,3.00020557259243,4.00066018860964,-2.51586712016519,4.91102702466812,0.441395789257995,1000,0.75
"3731",3731,0,1.9963247296563,3.00476985891416,3.99953211575053,1.99676623558859,3.00402196361977,3.99966642985132,3.42494733128518,1.47245549936123,4.02780551131012,1.99655326216682,3.00439478504863,3.99959715085853,-2.13581877623891,4.44772422850698,0.29847623341478,1000,0.75
"3732",3732,0,1.99797523178764,3.00185890712864,4.00007939092091,1.99797461302999,3.00185830963532,4.0000766506287,3.83328962207265,1.14046375753664,4.00807806911787,2.00088597189121,2.99912474815776,4.00002193103795,-2.17808337729069,4.45035972721535,0.523455334366546,1000,0.75
