"","rep","our_beta0","our_beta1","cc_beta0","cc_beta1","naive_beta0","naive_beta1","gs_beta0","gs_beta1","n","q","our_beta0_se","our_beta1_se","cc_beta0_se","cc_beta1_se","naive_beta0_se","naive_beta1_se","gs_beta0_se","gs_beta1_se"
"23",23,-2.8866318840894,0.408735289658018,-2.39789527279836,0.0706175672139515,-2.83321334405618,0.550830958379655,-2.63905732961524,0.18805223150293,100,0.75,0.578515357853137,0.724911375200181,0.577350231563513,0.763762568181701,0.577350186482381,0.730296662926789,0.577350213494073,0.730296679962906
"24",24,-2.01586444536926,-0.205852382381214,-2.05412373369554,0.234965290279375,-1.94591014905531,-0.228841572428845,-2.02438176449681,-0.0340063679851946,100,0.75,0.358345995119734,0.56059343591613,0.447213578468348,0.605530051852632,0.353553379642557,0.570087689423702,0.377964459369282,0.556348619502265
"25",25,-2.12446141860935,-0.0900369546645301,-2.16905370036952,0.252131088187573,-2.058388132482,-0.120144311841971,-2.14006616349627,0.0400053346137803,100,0.75,0.36306618445092,0.551171761838054,0.499999976928162,0.670820304738327,0.408248274798269,0.577350195089163,0.408248272479976,0.577350196975403
"26",26,-2.24665770527615,-0.197526775281723,-1.89711998488588,-0.965080896033752,-2.14006616349627,-0.365459773494,-2.07944154167983,-0.485507815781208,100,0.75,0.40702555717563,0.61679700306728,0.408248279071325,0.816495217135758,0.408248272479976,0.645497025432921,0.40824827421181,0.645497021388836
"27",27,-1.56991080252654,-0.247656920326273,-1.9924301646902,0.0114286958236224,-1.81237875643077,0.0777777010426662,-1.68639895357022,-0.196332293863557,100,0.75,0.26296384716475,0.461969846857314,0.408248276591941,0.645497202723217,0.353553356366881,0.485912628778053,0.316227748219257,0.492805361051626
"28",28,-1.86042558959836,0.36886983348103,-1.6094379124341,0.10536051565783,-1.71479842809193,0.200670695462152,-1.79175946922805,0.325422400434627,100,0.75,0.343717377876287,0.437998077605495,0.377964468354559,0.517549154950869,0.333333327527694,0.449466564492126,0.353553382946586,0.456435454427745
"29",29,-2.33569477146911,0.138783006422066,-1.76358859226136,0.0206192872027562,-1.89085037187228,-0.349859317403495,-2.10006082888257,0.1141453452136,100,0.75,0.41129715189039,0.56512519150961,0.408248282280512,0.556348607585697,0.353553380864031,0.570087601521196,0.408248273630319,0.556348589851805
"30",30,-2.57747603579363,0.64240855376243,-1.94591014905519,0.308301359654409,-2.17853244432397,0.274294991669263,-2.30258509299385,0.470003629245565,100,0.75,0.448613882435971,0.572643782016845,0.447213485494332,0.585539939460569,0.408248201335574,0.556348540398393,0.447213457523855,0.570087582350156
"31",31,-3.24679449657041,0.376277979602681,-2.89037175789611,0.53899650073264,-3.06805293513347,0.411296028418835,-3.09104245335815,0.451985123742913,100,0.75,0.708852080714692,0.870275741599128,0.707106665192347,0.866025291524437,0.707106592755924,0.866025221167009,0.707106579064813,0.866025210904961
"32",32,-2.6961655390481,0.0930387650313652,-2.89037175789611,0.378066133920008,-3.06805293513347,0.634439579733034,-2.77258872223975,0.207639364778227,100,0.75,0.514812313162777,0.725974569135069,0.707106665192347,0.912870810928616,0.707106592755924,0.836659850838041,0.577350196828064,0.763762533374732
"33",33,-3.01007869379783,-0.0206024807471539,-2.45673577282129,-0.182321556793946,-2.83321334405617,0.040005334613692,-2.79320800944248,-0.0400053346136921,100,0.75,0.578762179016647,0.820407608424025,0.577350228042845,0.816496512449856,0.577350186482381,0.816496468958299,0.577350193548189,0.816496468958299
"34",34,-2.68763744570994,0.348132229414296,-2.16905370036952,-1.32745386109364,-2.50552593699072,-0.040005334613698,-2.50552593699072,-0.0400053346136966,100,0.75,0.500031309597935,0.639243837773698,0.499999976928162,1.1180328264208,0.499999961533763,0.707106724964932,0.499999961533764,0.707106724964932
"35",35,-1.77624390576194,-1.22694195009081,-2.39789527279836,-0.141078598259901,-2.03688192726104,-0.56580775818333,-1.94591014905531,-0.887303195000863,100,0.75,0.310384469361048,0.666616740453947,0.577350231563513,0.816496521169767,0.408248275390187,0.645497179810372,0.377964461302419,0.690065483732426
"36",36,-2.80188554358892,1.29284305391747,-2.37490575457324,0.234839591076976,-2.60268968544387,0.853489830634624,-2.43361335540023,0.618323388762011,100,0.75,0.502456575235086,0.593564817295703,0.499999768546832,0.707106601949955,0.49999974616642,0.612372210851587,0.447213448098276,0.585539902439064
"37",37,-2.86853471444775,1.01301360390835,-2.19722457733621,0.810930216216324,-2.56494935746152,0.890972923889851,-2.58399755243222,0.931074528058377,100,0.75,0.501226411053212,0.605957248465597,0.499999975887862,0.600925191657021,0.499999957609583,0.600925174469844,0.49999995621954,0.600925173502411
"38",38,-2.95334280637512,0.317247449259528,-2.4567357728213,-1.12678316562771,-2.77258872223975,-0.080042707673523,-2.77258872223975,-0.0800427076735225,100,0.75,0.576056127873583,0.778324428777796,0.577350228042845,1.1546988853031,0.577350196828064,0.816496468587687,0.577350196828065,0.816496468587687
"39",39,-2.09088950475264,-0.389464749021674,-2.30258509299404,-0.18232155679395,-2.10006082888257,-0.445470442721854,-2.37954613413017,0.160342650075177,100,0.75,0.371586555550539,0.659158495364406,0.499999971725297,0.763762564817699,0.40824827363032,0.64549718192956,0.447213567144763,0.63245549620873
"40",40,-3.05550134828843,1.34271171382981,-3.43398720448318,1.68478734967393,-3.06805293513347,1.32758676029297,-3.02042488614426,1.24547253523258,100,0.75,0.69707679393366,0.77552215840632,0.999999009552667,1.06065923570802,0.707106592755924,0.77459649480407,0.707106617353062,0.77459651701312
