"","rep","our_beta0","our_beta1","our_beta2","cc_beta0","cc_beta1","cc_beta2","naive_beta0","naive_beta1","naive_beta2","gs_beta0","gs_beta1","gs_beta2","n","q","our_beta0_se","our_beta1_se","our_beta2_se","cc_beta0_se","cc_beta1_se","cc_beta2_se","naive_beta0_se","naive_beta1_se","naive_beta2_se","gs_beta0_se","gs_beta1_se","gs_beta2_se"
"1908",1908,-2.47464347992781,0.36241936043215,-0.449003073233539,-2.26252941671088,0.059381231721152,-0.512944899074644,-2.65153692199968,0.607961564259812,-0.634673905356989,-2.12390719046334,-0.155843137330861,-0.379403970908117,100,0.75,0.546508735757137,0.659840908560319,0.311212856466792,0.592818857718314,0.720990359041783,0.361491851348333,0.682092542052922,0.812668752673154,0.408672463184859,0.533864476631805,0.687683088603398,0.344878128057612
"1909",1909,-19.0983133085592,16.7127308964406,0.383451591300785,-18.9836108144956,16.8274321094751,0.482766026614126,-19.9719999269143,17.6735188492688,0.434239093484619,-19.9938786758192,17.7203384423575,0.411081303503482,100,0.75,2604.32901612343,2604.32908345064,0.439746291344272,1890.43571816997,1890.43582298783,0.503848175815772,2788.1385631636,2788.13863188461,0.465835950174088,2749.80626771635,2749.80633855473,0.468878024569547
"1910",1910,-2.46994574671411,1.18439447977666,-0.420607441533144,-3.30965961679777,1.99014416716048,-0.658057442923114,-2.28849735826938,0.870354087398455,-0.384182778765874,-2.3233630129882,0.939486465287599,-0.37942462452377,100,0.75,0.547645837038667,0.637182991311512,0.247458967595511,0.845579001235623,0.89032446992307,0.352500161447062,0.551767535035216,0.650718938902711,0.287567139804786,0.527990052104375,0.619130761609999,0.273830142392161
"1911",1911,-3.72747698262223,1.11742701436245,-0.257838667191712,-2.93071452268624,0.656734702165837,-0.292958675538619,-3.19119222774526,0.575861782905456,-0.166253848504783,-3.39258623141531,0.926210252914566,-0.25851023073939,100,0.75,0.830479619980616,1.03937232924145,0.459200141660955,0.833504783950835,1.03639464961902,0.507587486872177,0.834274461815456,1.04105416508351,0.473274502309445,0.828696991567148,1.03225904985565,0.473822728437296
"1912",1912,-1.49430127558661,-0.817359410875547,0.798521928752961,-1.35593189035203,-1.32198905037871,1.23212010213438,-1.80517580080182,-0.225825444327146,0.749885099599073,-1.46941345592105,-0.940196061803026,0.962081460518892,100,0.75,0.359325868258011,0.560147142873426,0.288021579021913,0.416218906481404,0.64375844066767,0.393402149125685,0.513884078452802,0.69285595531518,0.338572539898861,0.378188629045902,0.590178546523456,0.333712988025558
"1913",1913,-3.01123216142219,1.0938029661833,0.128376212529275,-2.34746830626465,-0.0550759004688747,0.284149328338971,-2.71367625848547,0.624155317885111,0.184073183138846,-2.80614241504093,0.760179573823178,0.177374974207332,100,0.75,0.745994649122147,0.877816960914895,0.29448521924662,0.746196724708554,1.01186935229984,0.424848299800005,0.755074951701315,0.929733486327624,0.34786247058184,0.730705932644978,0.875580242534392,0.327795898460993
"1914",1914,-2.89108914029664,1.2319110196203,0.102063716830705,-3.36128209127533,1.94511257145358,-0.0871349979305935,-2.12808752785044,0.339961106358727,0.245345832131126,-2.94662059315696,1.39175065388469,0.029431296073502,100,0.75,0.805418387382831,0.908246783205161,0.286467543796339,1.04190307175454,1.11014075937507,0.377820225461822,0.539273163892974,0.679088332376278,0.316280411303132,0.751725907092228,0.838486905790719,0.318703050805526
"1915",1915,-2.16164371542646,-0.390429133849066,0.115929179180205,-2.22426926423907,-0.475908298293523,0.382287698571664,-1.9937838976543,-0.7149472982734,0.338096345130465,-2.21917771144423,-0.338926724338607,0.207821771739891,100,0.75,0.524408421545111,0.814387413435716,0.37855730784895,0.595354989513972,0.890345578745046,0.424641291475398,0.57490892489419,0.879982807216328,0.431690236394288,0.544598201563943,0.803606658138512,0.396400041817819
"1916",1916,-1.789785962165,-0.0871133848501929,0.256973145086127,-1.80426131356175,-0.233116982204375,0.24779326147998,-1.58303191780184,-0.488690916112547,0.353365812411434,-1.86978257460924,-0.0165935885181588,0.218163691982053,100,0.75,0.472915042553374,0.705001736366658,0.271960311314609,0.564327471310362,0.839284162056607,0.336348674789587,0.543597703296489,0.819932594994751,0.31914540681294,0.502729993438539,0.727542257460691,0.292893643698795
"1917",1917,-2.75206050190249,0.188227270934626,0.00806104603848438,-3.19796647996202,0.635852317125622,0.133803725180118,-2.69550434818729,0.0322345680857916,0.104571489292631,-2.90002891911921,0.350703426280421,0.0357299937151003,100,0.75,0.636315153263153,0.853890182235604,0.378400853407996,1.02904009330177,1.23439632325904,0.620640615004805,0.786775491654699,1.03534891007762,0.493514179140442,0.738765964434935,0.933251233523125,0.443128434113743
